Date	App Name	App Apple Identifier	Event	Page Type	Page Title	Source Type	Source Info	Campaign	Engagement Type	Device	Platform Version	Territory	Counts	Unique Counts
2026-06-25	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	US	8	8
2026-07-03	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	US	7	7
2026-07-03	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	12	7
2026-05-02	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 18.7	US	5	5
2026-05-05	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 18.7	BR	7	5
2026-05-05	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.4	ES	6	6
2026-05-05	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.4	BR	5	5
2026-05-05	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	BR	8	5
2026-05-05	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	US	7	7
2026-02-17	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.2	BR	8	6
2026-06-23	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	11	8
2026-02-25	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.2	BR	6	6
2026-02-25	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 18.6	BR	5	5
2026-06-05	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPad	iOS 26.5	US	5	5
2026-06-05	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	US	11	6
2026-04-24	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	CO	5	5
2026-05-22	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 18.6	BR	8	5
2026-05-22	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.4	BR	8	6
2026-07-11	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	13	10
2026-07-11	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	US	6	5
2026-04-05	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	BR	8	7
2026-05-21	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.4	CL	5	5
2026-05-21	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.4	BR	14	8
2026-06-03	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	6	6
2026-06-03	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	ES	14	10
2026-06-03	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	US	12	8
2026-06-03	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	MX	14	9
2026-05-09	BLW Baby Led Weaning Tracker	6758321287	Page view	Product page	Default product page	App Store search				iPhone	iOS 26.3	ES	5	5
2026-04-07	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	MX	5	5
2026-04-07	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	ES	12	11
2026-04-14	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	US	5	5
2026-04-14	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	ES	10	8
2026-04-14	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	BR	16	10
2026-04-14	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	CO	6	6
2026-04-14	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.2	ES	6	6
2026-04-14	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 18.6	BR	6	5
2026-04-13	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	MX	6	6
2026-04-13	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	ES	9	7
2026-04-13	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.3	CO	12	5
2026-06-11	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	US	11	10
2026-06-11	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	11	5
2026-05-18	BLW Baby Led Weaning Tracker	6758321287	Impression	No page	No page	App Store search				iPhone	iOS 26.5	BR	5	5
