Apple Identifier,Begin Date,CMB,Category,Client,Country Code,Currency of Proceeds,Customer Currency,Customer Price,Developer,Developer Proceeds,Device,End Date,Order Type,Parent Identifier,Period,Preserved Pricing,Proceeds Reason,Product Type Identifier,Promo Code,Provider,Provider Country,SKU,Subscription,Supported Platforms,Title,Units,Version,_report_date
6758321287,04/27/2026,,Health & Fitness, ,EC, ,USD,0.00,Joao Victor Flores da Costa,0.00,iPhone,04/27/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-04-27
6758321287,04/27/2026,,Health & Fitness, ,BR,BRL,BRL,0.00,Joao Victor Flores da Costa,0.00,iPhone,04/27/2026, , , , , ,3F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-04-27
6758321287,04/27/2026,,Health & Fitness, ,CL, ,CLP,0.00,Joao Victor Flores da Costa,0.00,iPhone,04/27/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-04-27
6758321287,04/27/2026,,Health & Fitness, ,US, ,USD,0.00,Joao Victor Flores da Costa,0.00,iPhone,04/27/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,3,1.0,2026-04-27
6758321287,04/27/2026,,Health & Fitness, ,AR, ,USD,0.00,Joao Victor Flores da Costa,0.00,iPhone,04/27/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-04-27
6758321287,04/27/2026,,Health & Fitness, ,ES, ,EUR,0.00,Joao Victor Flores da Costa,0.00,iPhone,04/27/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-04-27
6758321287,04/26/2026,,Health & Fitness, ,US, ,USD,0.00,Joao Victor Flores da Costa,0.00,Desktop,04/26/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-04-26
6758321287,04/26/2026,,Health & Fitness, ,MX, ,MXN,0.00,Joao Victor Flores da Costa,0.00,iPhone,04/26/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-04-26
6758321287,04/26/2026,,Health & Fitness, ,US, ,USD,0.00,Joao Victor Flores da Costa,0.00,iPhone,04/26/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,2,1.0,2026-04-26
6758321287,04/25/2026,,Health & Fitness, ,NG, ,NGN,0.00,Joao Victor Flores da Costa,0.00,iPhone,04/25/2026, , , , , ,1F, ,APPLE,US,com.gambit.blwbaby.2024, ,iOS,BLW Tracker - Baby Led,1,1.0,2026-04-25
